v8-version,8,6,395,17,-node.22,0
code-creation,Builtin,3,4860,0x1469740,245,InstantiateAsmJs
code-creation,Builtin,3,4869,0x1469840,32,NotifyDeoptimized
code-creation,Builtin,3,4877,0x1469880,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,4887,0x14698c0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4896,0x1469900,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4905,0x1469940,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4914,0x14699a0,287,CallApiCallback
code-creation,Builtin,3,4923,0x1469ac0,269,CallApiGetter
code-creation,Builtin,3,4932,0x1469be0,12,HandleApiCall
code-creation,Builtin,3,4940,0x1469c00,12,HandleApiCallAsFunction
code-creation,Builtin,3,4949,0x1469c20,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4959,0x1469c40,72,AllocateInYoungGeneration
code-creation,Builtin,3,4969,0x1469ca0,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4978,0x1469ce0,72,AllocateInOldGeneration
code-creation,Builtin,3,4987,0x1469d40,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,4996,0x1469d80,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,5006,0x1469f80,563,GrowFastDoubleElements
code-creation,Builtin,3,5016,0x146a1c0,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,5025,0x146a380,500,DebugBreakTrampoline
code-creation,Builtin,3,5034,0x146a580,141,FrameDropperTrampoline
code-creation,Builtin,3,5044,0x146a620,45,HandleDebuggerStatement
code-creation,Builtin,3,5053,0x146a660,239,ToNumber
code-creation,Builtin,3,5063,0x146a760,272,ToNumberConvertBigInt
code-creation,Builtin,3,5072,0x146a880,140,Typeof
code-creation,Builtin,3,5081,0x146a920,69,GetSuperConstructor
code-creation,Builtin,3,5090,0x146a980,125,BigIntToI64
code-creation,Builtin,3,5099,0x146aa00,12,BigIntToI32Pair
code-creation,Builtin,3,5109,0x146aa20,253,I64ToBigInt
code-creation,Builtin,3,5118,0x146ab20,12,I32PairToBigInt
code-creation,Builtin,3,5127,0x146ab40,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,5136,0x146abc0,3081,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,5145,0x146b7e0,16384,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,5154,0x146f800,325,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,5163,0x146f960,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,5172,0x146f9c0,20,LoadIC_StringLength
code-creation,Builtin,3,5181,0x146f9e0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,5190,0x146fa00,3004,LoadIC_NoFeedback
code-creation,Builtin,3,5200,0x14705c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,5209,0x1470600,7472,StoreIC_NoFeedback
code-creation,Builtin,3,5218,0x1472340,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,5228,0x1472400,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,5250,0x1472460,328,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,5259,0x14725c0,328,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5269,0x1472720,328,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,5279,0x1472880,328,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,5289,0x14729e0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,5298,0x14744a0,10612,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5308,0x1476e20,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,5318,0x14788e0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,5327,0x147a260,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,5336,0x147c720,21780,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5346,0x1481c40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,5357,0x1484100,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,5366,0x1487160,800,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,5375,0x14874a0,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,5385,0x1487540,80,HasIndexedInterceptorIC
code-creation,Builtin,3,5394,0x14875a0,156,EnqueueMicrotask
code-creation,Builtin,3,5403,0x1487640,8,RunMicrotasksTrampoline
code-creation,Builtin,3,5413,0x1487660,2548,RunMicrotasks
