v8-version,8,6,395,17,-node.22,0
shared-library,/usr/local/bin/node,0x400000,0x4369000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.24.so,0x7f560c699000,0x7f560c82e000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.24.so,0x7f560ca38000,0x7f560ca50000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f560cc55000,0x7f560cc6b000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.24.so,0x7f560ce6c000,0x7f560cf6f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22,0x7f560d170000,0x7f560d2e2000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.24.so,0x7f560d4f2000,0x7f560d4f5000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.24.so,0x7f560d6f6000,0x7f560d719000,0
shared-library,[vdso],0x7ffd49be3000,0x7ffd49be4000,0
profiler,begin,1000
code-creation,Builtin,3,3589,0x1460e20,1628,RecordWrite
code-creation,Builtin,3,3642,0x1461480,424,EphemeronKeyBarrier
code-creation,Builtin,3,3656,0x1461640,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3667,0x1461680,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3677,0x14617c0,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3689,0x14618a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3700,0x14619c0,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3710,0x1461b00,127,CallBoundFunction
code-creation,Builtin,3,3721,0x1461b80,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3731,0x1461c00,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3742,0x1461c80,109,Call_ReceiverIsAny
code-creation,Builtin,3,3752,0x1461d00,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,3763,0x1461f00,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,3774,0x1462100,488,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,3,3785,0x1462300,858,CallProxy
code-creation,Builtin,3,3794,0x1462660,75,CallVarargs
code-creation,Builtin,3,3804,0x14626c0,1064,CallWithSpread
code-creation,Builtin,3,3814,0x1462b00,1600,CallWithSpread_WithFeedback
code-creation,Builtin,3,3825,0x1463160,962,CallWithArrayLike
code-creation,Builtin,3,3835,0x1463540,1470,CallWithArrayLike_WithFeedback
code-creation,Builtin,3,3846,0x1463b00,100,CallForwardVarargs
code-creation,Builtin,3,3855,0x1463b80,100,CallFunctionForwardVarargs
code-creation,Builtin,3,3866,0x1463c00,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,3880,0x1463ca0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,3891,0x1463da0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,3902,0x1463f00,26,ConstructFunction
code-creation,Builtin,3,3912,0x1463f20,127,ConstructBoundFunction
code-creation,Builtin,3,3922,0x1463fa0,28,ConstructedNonConstructable
code-creation,Builtin,3,3933,0x1463fc0,90,Construct
code-creation,Builtin,3,3943,0x1464020,75,ConstructVarargs
code-creation,Builtin,3,3953,0x1464080,1084,ConstructWithSpread
code-creation,Builtin,3,3963,0x14644c0,1918,ConstructWithSpread_WithFeedback
code-creation,Builtin,3,3974,0x1464c40,1044,ConstructWithArrayLike
code-creation,Builtin,3,3984,0x1465060,1882,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,3,3995,0x14657c0,139,ConstructForwardVarargs
code-creation,Builtin,3,4005,0x1465860,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4016,0x1465900,885,Construct_WithFeedback
code-creation,Builtin,3,4026,0x1465c80,328,JSConstructStubGeneric
code-creation,Builtin,3,4037,0x1465de0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,4047,0x1465ee0,735,FastNewObject
code-creation,Builtin,3,4057,0x14661c0,321,FastNewClosure
code-creation,Builtin,3,4068,0x1466320,842,ConstructProxy
code-creation,Builtin,3,4078,0x1466680,188,JSEntry
code-creation,Builtin,3,4087,0x1466740,188,JSConstructEntry
code-creation,Builtin,3,4098,0x1466800,188,JSRunMicrotasksEntry
code-creation,Builtin,3,4108,0x14668c0,95,JSEntryTrampoline
code-creation,Builtin,3,4122,0x1466920,95,JSConstructEntryTrampoline
code-creation,Builtin,3,4133,0x1466980,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,4143,0x1466ac0,1112,StringCodePointAt
code-creation,Builtin,3,4154,0x1466f20,1611,StringFromCodePointAt
code-creation,Builtin,3,4233,0x1467580,552,StringEqual
code-creation,Builtin,3,4245,0x14677c0,284,StringGreaterThan
code-creation,Builtin,3,4262,0x14678e0,284,StringGreaterThanOrEqual
code-creation,Builtin,3,4273,0x1467a00,1069,StringIndexOf
code-creation,Builtin,3,4283,0x1467e40,284,StringLessThan
