v8-version,8,6,395,17,-node.22,0
code-creation,Builtin,3,3421,0x1469840,32,NotifyDeoptimized
code-creation,Builtin,3,3424,0x1469880,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,3427,0x14698c0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,3432,0x1469900,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3440,0x1469940,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3445,0x14699a0,287,CallApiCallback
code-creation,Builtin,3,3449,0x1469ac0,269,CallApiGetter
code-creation,Builtin,3,3454,0x1469be0,12,HandleApiCall
code-creation,Builtin,3,3458,0x1469c00,12,HandleApiCallAsFunction
code-creation,Builtin,3,3463,0x1469c20,12,HandleApiCallAsConstructor
code-creation,Builtin,3,3467,0x1469c40,72,AllocateInYoungGeneration
code-creation,Builtin,3,3472,0x1469ca0,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3478,0x1469ce0,72,AllocateInOldGeneration
code-creation,Builtin,3,3481,0x1469d40,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3485,0x1469d80,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3488,0x1469f80,563,GrowFastDoubleElements
code-creation,Builtin,3,3493,0x146a1c0,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,3496,0x146a380,500,DebugBreakTrampoline
code-creation,Builtin,3,3499,0x146a580,141,FrameDropperTrampoline
code-creation,Builtin,3,3504,0x146a620,45,HandleDebuggerStatement
code-creation,Builtin,3,3507,0x146a660,239,ToNumber
code-creation,Builtin,3,3510,0x146a760,272,ToNumberConvertBigInt
code-creation,Builtin,3,3513,0x146a880,140,Typeof
code-creation,Builtin,3,3518,0x146a920,69,GetSuperConstructor
code-creation,Builtin,3,3521,0x146a980,125,BigIntToI64
code-creation,Builtin,3,3524,0x146aa00,12,BigIntToI32Pair
code-creation,Builtin,3,3527,0x146aa20,253,I64ToBigInt
code-creation,Builtin,3,3531,0x146ab20,12,I32PairToBigInt
code-creation,Builtin,3,3537,0x146ab40,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3540,0x146abc0,3081,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3543,0x146b7e0,16384,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3548,0x146f800,325,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,3551,0x146f960,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,3556,0x146f9c0,20,LoadIC_StringLength
code-creation,Builtin,3,3559,0x146f9e0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,3562,0x146fa00,3004,LoadIC_NoFeedback
code-creation,Builtin,3,3567,0x14705c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,3570,0x1470600,7472,StoreIC_NoFeedback
code-creation,Builtin,3,3573,0x1472340,180,KeyedLoadIC_SloppyArguments
