v8-version,8,6,395,17,-node.22,0
code-creation,Builtin,3,11371,0x14696e0,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,11374,0x1469740,245,InstantiateAsmJs
code-creation,Builtin,3,11376,0x1469840,32,NotifyDeoptimized
code-creation,Builtin,3,11379,0x1469880,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,11382,0x14698c0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,11385,0x1469900,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,11388,0x1469940,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,11392,0x14699a0,287,CallApiCallback
code-creation,Builtin,3,11395,0x1469ac0,269,CallApiGetter
code-creation,Builtin,3,11397,0x1469be0,12,HandleApiCall
code-creation,Builtin,3,11400,0x1469c00,12,HandleApiCallAsFunction
code-creation,Builtin,3,11403,0x1469c20,12,HandleApiCallAsConstructor
code-creation,Builtin,3,11406,0x1469c40,72,AllocateInYoungGeneration
code-creation,Builtin,3,11409,0x1469ca0,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,11412,0x1469ce0,72,AllocateInOldGeneration
code-creation,Builtin,3,11416,0x1469d40,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,11419,0x1469d80,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,11422,0x1469f80,563,GrowFastDoubleElements
code-creation,Builtin,3,11425,0x146a1c0,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,11428,0x146a380,500,DebugBreakTrampoline
code-creation,Builtin,3,11430,0x146a580,141,FrameDropperTrampoline
code-creation,Builtin,3,11433,0x146a620,45,HandleDebuggerStatement
code-creation,Builtin,3,11436,0x146a660,239,ToNumber
code-creation,Builtin,3,11439,0x146a760,272,ToNumberConvertBigInt
code-creation,Builtin,3,11442,0x146a880,140,Typeof
code-creation,Builtin,3,11444,0x146a920,69,GetSuperConstructor
code-creation,Builtin,3,11447,0x146a980,125,BigIntToI64
code-creation,Builtin,3,11450,0x146aa00,12,BigIntToI32Pair
code-creation,Builtin,3,11452,0x146aa20,253,I64ToBigInt
code-creation,Builtin,3,11455,0x146ab20,12,I32PairToBigInt
code-creation,Builtin,3,11458,0x146ab40,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,11461,0x146abc0,3081,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,11464,0x146b7e0,16384,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,11467,0x146f800,325,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,11470,0x146f960,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,11473,0x146f9c0,20,LoadIC_StringLength
code-creation,Builtin,3,11475,0x146f9e0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,11478,0x146fa00,3004,LoadIC_NoFeedback
code-creation,Builtin,3,11481,0x14705c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,11487,0x1470600,7472,StoreIC_NoFeedback
code-creation,Builtin,3,11490,0x1472340,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,11493,0x1472400,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,11496,0x1472460,328,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,11499,0x14725c0,328,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,11502,0x1472720,328,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,11506,0x1472880,328,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,11510,0x14729e0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,11513,0x14744a0,10612,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,11516,0x1476e20,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,11520,0x14788e0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,11523,0x147a260,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,11526,0x147c720,21780,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,11530,0x1481c40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,11533,0x1484100,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,11537,0x1487160,800,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,11540,0x14874a0,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,11543,0x1487540,80,HasIndexedInterceptorIC
code-creation,Builtin,3,11547,0x14875a0,156,EnqueueMicrotask
code-creation,Builtin,3,11550,0x1487640,8,RunMicrotasksTrampoline
code-creation,Builtin,3,11553,0x1487660,2548,RunMicrotasks
code-creation,Builtin,3,11556,0x1488060,2172,HasProperty
code-creation,Builtin,3,11559,0x14888e0,1108,DeleteProperty
code-creation,Builtin,3,11562,0x1488d40,1987,CopyDataProperties
code-creation,Builtin,3,11565,0x1489520,8942,SetDataProperties
code-creation,Builtin,3,11568,0x148b820,36,Abort
code-creation,Builtin,3,11570,0x148b860,36,AbortCSAAssert
code-creation,Builtin,3,11573,0x148b8a0,12,EmptyFunction
code-creation,Builtin,3,11576,0x148b8c0,12,Illegal
code-creation,Builtin,3,11578,0x148b8e0,12,StrictPoisonPillThrower
code-creation,Builtin,3,11581,0x148b900,12,UnsupportedThrower
code-creation,Builtin,3,11584,0x148b920,65,ReturnReceiver
code-creation,Builtin,3,11587,0x148b980,36,ArrayConstructor
code-creation,Builtin,3,11590,0x148b9c0,413,ArrayConstructorImpl
code-creation,Builtin,3,11593,0x148bb60,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,11596,0x148bc60,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,11600,0x148bd60,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,11604,0x148be40,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,11607,0x148bf20,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,11611,0x148c000,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,11615,0x148c0e0,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,11619,0x148c1c0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,11622,0x148c2a0,533,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,11626,0x148c4c0,497,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,11629,0x148c6c0,457,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,11633,0x148c8a0,417,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,11637,0x148ca60,457,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,11641,0x148cc40,417,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,11645,0x148ce00,469,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,11649,0x148cfe0,433,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,11655,0x148d1a0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,11658,0x148d200,12,ArrayConcat
code-creation,Builtin,3,11661,0x148d220,12,ArrayPrototypeFill
code-creation,Builtin,3,11664,0x148d240,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,11667,0x148d600,148,ArrayIncludesPackedDoubles
